parameter,BAT,CL,E,FA,Fp,Kbh,Khe,Ktrans,TR,Te,Th,duration,field_strength,kbh,khe,n0,study,ve,visit,vol
count,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
mean,0.0,-18.494950067819776,-12.271816711419511,0.0,0.0,-20.154781894873867,-18.494950067819786,-12.271816711419511,0.0,113.7631563382476,30.39068994536036,0.0,0.0,-20.154781894873867,-18.494950067819783,0.0,0.0,0.0,100.0,0.0
std,0.0,47.60036737163705,27.551763280200852,0.0,0.0,15.963265097519322,47.60036737163704,27.55176328020085,0.0,245.84211430771896,31.495641872007287,0.0,0.0,15.963265097519322,47.60036737163704,0.0,0.0,0.0,0.0,0.0
min,0.0,-95.3989163299971,-67.46519723084148,0.0,0.0,-47.290674455131715,-95.3989163299971,-67.46519723084148,0.0,-21.547218965258917,1.4147858538146765,0.0,0.0,-47.29067445513171,-95.3989163299971,0.0,0.0,0.0,100.0,0.0
25%,0.0,-42.42072791815696,-8.64121401221963,0.0,0.0,-24.76369717403016,-42.42072791815696,-8.641214012219631,0.0,-5.000513096340593,11.962135108373335,0.0,0.0,-24.763697174030163,-42.42072791815696,0.0,0.0,0.0,100.0,0.0
50%,0.0,0.002855988984597396,0.0002856121313037196,0.0,0.0,-18.784553165946505,0.0028559889845904502,0.00028561213130357557,0.0,-0.0025702708309895397,23.514388254414378,0.0,0.0,-18.784553165946498,0.0028559889845893287,0.0,0.0,0.0,100.0,0.0
75%,0.0,7.13166273497448,1.655837764135768,0.0,0.0,-10.633975671107118,7.131662734974471,1.6558377641357769,0.0,77.7638965803186,32.93068042644044,0.0,0.0,-10.633975671107116,7.131662734974475,0.0,0.0,0.0,100.0,0.0
max,0.0,31.477494848675626,3.147751143594477,0.0,0.0,-1.395048899333118,31.477494848675608,3.147751143594467,0.0,607.1117393772151,89.7197487660433,0.0,0.0,-1.3950488993331127,31.47749484867561,0.0,0.0,0.0,100.0,0.0
