parameter,BAT,CL,E,FA,Fp,Kbh,Khe,Ktrans,TR,Te,Th,duration,field_strength,kbh,khe,n0,study,ve,visit,vol
count,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
mean,0.0,-96.32050811121162,-89.08630061687721,0.0,0.0,-58.52923380887193,-96.32050811121165,-89.08630061687721,0.0,257.39838571139995,157.3107703391685,0.0,0.0,-58.52923380887193,-96.32050811121165,0.0,0.0,0.0,100.0,0.0
std,0.0,2.3478319087042006,2.5547736726152217,0.0,0.0,12.06047097948622,2.347831908704204,2.5547736726152186,0.0,132.98831783833504,68.06986263372958,0.0,0.0,12.060470979486215,2.3478319087042054,0.0,0.0,0.0,0.0,0.0
min,0.0,-97.99115203749348,-91.97120348415051,0.0,0.0,-70.40918993910152,-97.99115203749349,-91.97120348415051,0.0,97.78731968076183,65.54572778415793,0.0,0.0,-70.40918993910152,-97.99115203749348,0.0,0.0,0.0,100.0,0.0
25%,0.0,-97.7184788505199,-90.73983846177569,0.0,0.0,-67.26742124538518,-97.71847885051992,-90.73983846177569,0.0,149.38798719923295,111.11062474262303,0.0,0.0,-67.26742124538517,-97.71847885051992,0.0,0.0,0.0,100.0,0.0
50%,0.0,-97.6457978173139,-89.06526744855272,0.0,0.0,-61.715984791133906,-97.6457978173139,-89.06526744855272,0.0,267.1410344274611,161.21478316033787,0.0,0.0,-61.7159847911339,-97.6457978173139,0.0,0.0,0.0,100.0,0.0
75%,0.0,-95.39077542224811,-88.58863240064403,0.0,0.0,-51.8959564667716,-95.39077542224813,-88.58863240064403,0.0,345.271712002987,207.95669335839239,0.0,0.0,-51.8959564667716,-95.39077542224813,0.0,0.0,0.0,100.0,0.0
max,0.0,-92.25849384300047,-84.68828246914947,0.0,0.0,-39.59372957640916,-92.25849384300047,-84.68828246914947,0.0,430.8686830813967,237.94275923571536,0.0,0.0,-39.59372957640916,-92.25849384300045,0.0,0.0,0.0,100.0,0.0
