parameter,BAT,CL,E,FA,Fp,Kbh,Khe,Ktrans,TR,Te,Th,duration,field_strength,kbh,khe,n0,study,ve,visit,vol
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.0,-38.155341203085506,-23.37695804356207,0.0,0.0,-30.63171086527621,-38.15534120308551,-23.376958043562063,0.0,84.32591760219174,57.478556094487246,0.0,0.0,-30.631710865276204,-38.15534120308551,0.0,0.0,0.0,100.0,0.0
std,0.0,44.45359584595097,26.784592750862593,0.0,0.0,20.175282900285,44.45359584595096,26.784592750862597,0.0,118.51828392094573,58.732861902266244,0.0,0.0,20.175282900285005,44.45359584595097,0.0,0.0,0.0,0.0,0.0
min,0.0,-84.67405791936942,-58.126866502138945,0.0,0.0,-60.937692740859184,-84.6740579193694,-58.12686650213894,0.0,-8.393578922969656,10.695507075565828,0.0,0.0,-60.93769274085919,-84.67405791936942,0.0,0.0,0.0,100.0,0.0
25%,0.0,-82.29685258644739,-43.35349816780946,0.0,0.0,-39.507263116004545,-82.29685258644739,-43.35349816780947,0.0,6.735571023088271,21.897043527170595,0.0,0.0,-39.50726311600454,-82.2968525864474,0.0,0.0,0.0,100.0,0.0
50%,0.0,-27.55578727364303,-15.13420901388117,0.0,0.0,-25.08794576599357,-27.55578727364303,-15.134209013881165,0.0,17.146405202416652,33.489864912294536,0.0,0.0,-25.087945765993577,-27.555787273643023,0.0,0.0,0.0,100.0,0.0
75%,0.0,-13.533092653009366,-7.709052697184883,0.0,0.0,-17.963555877620433,-13.533092653009357,-7.709052697184876,0.0,136.52931605712755,65.30910180467792,0.0,0.0,-17.963555877620433,-13.533092653009358,0.0,0.0,0.0,100.0,0.0
max,0.0,17.283084417041657,7.438836163204125,0.0,0.0,-9.662096825903316,17.283084417041643,7.438836163204138,0.0,269.6118746512959,156.00126315272738,0.0,0.0,-9.66209682590331,17.283084417041653,0.0,0.0,0.0,100.0,0.0
