parameter,BAT,CL,E,FA,Fp,Kbh,Khe,Ktrans,TR,Te,Th,duration,field_strength,kbh,khe,n0,study,ve,visit,vol
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.0,-65.46054564037574,-46.181729579057375,0.0,0.0,-9.357443226797113,-65.46054564037574,-46.181729579057375,0.0,67.0064987739535,18.90740659673383,0.0,0.0,-9.357443226797118,-65.46054564037574,0.0,0.0,0.0,100.0,0.0
std,0.0,16.193452957948068,20.824184562280045,0.0,0.0,24.337024316255896,16.193452957948068,20.82418456228005,0.0,36.49944010048707,40.91644294833213,0.0,0.0,24.337024316255892,16.19345295794806,0.0,0.0,0.0,0.0,0.0
min,0.0,-89.09190646204729,-75.4409332389811,0.0,0.0,-46.95565375171486,-89.0919064620473,-75.4409332389811,0.0,36.278072810383655,-13.040449155117377,0.0,0.0,-46.955653751714856,-89.09190646204728,0.0,0.0,0.0,100.0,0.0
25%,0.0,-68.86961224417104,-57.57610750795664,0.0,0.0,-15.77152065611639,-68.86961224417102,-57.57610750795664,0.0,41.27368312902704,-7.812209098055559,0.0,0.0,-15.771520656116401,-68.86961224417102,0.0,0.0,0.0,100.0,0.0
50%,0.0,-68.81072136289161,-44.10160644428598,0.0,0.0,-7.530269849035144,-68.81072136289161,-44.10160644428596,0.0,53.112270361754085,8.143497160358674,0.0,0.0,-7.53026984903515,-68.81072136289161,0.0,0.0,0.0,100.0,0.0
75%,0.0,-51.97267901260366,-27.325722261792926,0.0,0.0,8.474233975695354,-51.97267901260366,-27.32572226179292,0.0,79.22310485631816,18.724688821372716,0.0,0.0,8.474233975695347,-51.97267901260365,0.0,0.0,0.0,100.0,0.0
max,0.0,-48.557809120165174,-26.46427844227025,0.0,0.0,14.995994147185487,-48.55780912016518,-26.464278442270246,0.0,125.14536271228455,88.5215052551107,0.0,0.0,14.995994147185474,-48.55780912016518,0.0,0.0,0.0,100.0,0.0
