parameter,BAT,CL,E,FA,Fp,Kbh,Khe,Ktrans,TR,Te,Th,duration,field_strength,kbh,khe,n0,study,ve,visit,vol
count,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
mean,0.0,-88.786195736585,-55.94524512295877,0.0,0.0,-41.869452964505015,-88.786195736585,-55.94524512295875,0.0,310.9288845040788,76.48230527824725,0.0,0.0,-41.86945296450502,-88.786195736585,0.0,0.0,0.0,100.0,0.0
std,0.0,3.237438370735672,6.09879482675527,0.0,0.0,10.888588926850565,3.2374383707356804,6.09879482675527,0.0,98.22431403824453,32.03160914135197,0.0,0.0,10.88858892685056,3.2374383707356698,0.0,0.0,0.0,0.0,0.0
min,0.0,-92.07769903493381,-63.924812114867585,0.0,0.0,-53.387469475243506,-92.07769903493381,-63.92481211486758,0.0,210.9508807757025,38.213033009832166,0.0,0.0,-53.387469475243506,-92.0776990349338,0.0,0.0,0.0,100.0,0.0
25%,0.0,-91.15671606179832,-58.52257923032731,0.0,0.0,-47.95663657779159,-91.15671606179832,-58.5225792303273,0.0,271.90986744065,60.17310928468722,0.0,0.0,-47.95663657779159,-91.15671606179832,0.0,0.0,0.0,100.0,0.0
50%,0.0,-88.98078872965668,-55.203638030591506,0.0,0.0,-43.221209667038494,-88.98078872965667,-55.203638030591506,0.0,293.2409442210211,76.59080039232435,0.0,0.0,-43.22120966703849,-88.98078872965667,0.0,0.0,0.0,100.0,0.0
75%,0.0,-86.61026840444336,-52.62630392322296,0.0,0.0,-37.13402605375192,-86.61026840444335,-52.62630392322296,0.0,332.2599612844499,92.89999638588438,0.0,0.0,-37.13402605375192,-86.61026840444335,0.0,0.0,0.0,100.0,0.0
max,0.0,-85.10550645209284,-49.44889231578445,0.0,0.0,-27.647923048699592,-85.10550645209283,-49.44889231578444,0.0,446.2827687985703,114.53458731850819,0.0,0.0,-27.647923048699607,-85.10550645209284,0.0,0.0,0.0,100.0,0.0
