parameter,BAT,CL,E,FA,Fp,Kbh,Khe,Ktrans,TR,Te,Th,duration,field_strength,kbh,khe,n0,study,ve,visit,vol
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.0,-12.339578760942135,-4.419326232226416,0.0,0.0,-17.84823840715954,-12.339578760942143,-4.419326232226413,0.0,15.061314042083353,23.551688175235476,0.0,0.0,-17.848238407159535,-12.339578760942137,0.0,0.0,0.0,100.0,0.0
std,0.0,28.929290587625974,11.201306749443086,0.0,0.0,11.343880640099787,28.929290587625978,11.201306749443088,0.0,23.787183790649337,16.62141588108337,0.0,0.0,11.343880640099796,28.929290587625978,0.0,0.0,0.0,0.0,0.0
min,0.0,-40.64284510656621,-20.696257400168196,0.0,0.0,-30.167650710890086,-40.64284510656623,-20.6962574001682,0.0,-16.218591545317665,1.4647849324501712,0.0,0.0,-30.167650710890094,-40.64284510656622,0.0,0.0,0.0,100.0,0.0
25%,0.0,-34.45770427080326,-6.536249115715036,0.0,0.0,-26.822283179383167,-34.457704270803276,-6.536249115715036,0.0,1.615614283367502,17.06261519139565,0.0,0.0,-26.82228317938317,-34.45770427080327,0.0,0.0,0.0,100.0,0.0
50%,0.0,-15.762180998069466,-4.217785740644318,0.0,0.0,-16.231988106305675,-15.762180998069459,-4.217785740644308,0.0,13.704527721878181,19.377310908255602,0.0,0.0,-16.231988106305675,-15.762180998069464,0.0,0.0,0.0,100.0,0.0
75%,0.0,-2.6806491957597993,-1.1083438636859484,0.0,0.0,-14.575631309362533,-2.6806491957598086,-1.108343863685947,0.0,33.604352739293056,36.65362127262537,0.0,0.0,-14.575631309362526,-2.680649195759798,0.0,0.0,0.0,100.0,0.0
max,0.0,31.845485766488064,10.46200495908142,0.0,0.0,-1.4436387298562325,31.84548576648806,10.462004959081428,0.0,42.60066701119569,43.2001085714506,0.0,0.0,-1.443638729856219,31.845485766488068,0.0,0.0,0.0,100.0,0.0
